stage,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us,kernelName,err,tflops,bw
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,102.8501,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_bnt0_fp4,0.8%,501.11,15667.45
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,146.8373,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_bnt0_xcd4,0.0%,351.0,10974.05
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,150.3877,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_bnt0_xcd4_fp4,0.8%,342.71,10714.97
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,95.4674,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4,0.0%,539.87,16879.05
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,98.3069,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_fp4,0.8%,524.27,16391.52
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,141.6132,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_xcd4,0.0%,363.95,11378.88
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,147.0748,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_xcd4_fp4,0.8%,350.43,10956.32
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,120.5323,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_bnt0,0.0%,427.6,13369.02
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,127.8693,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_bnt0_fp4,0.8%,403.06,12601.92
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,181.0922,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_bnt0_xcd4,0.0%,284.6,8898.23
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,199.0525,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_bnt0_xcd4_fp4,0.8%,258.92,8095.35
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,118.0145,flydsl_moe1_afp4_wfp4_bf16_t32x64x256,0.0%,436.72,13654.25
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,124.7479,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_fp4,0.8%,413.15,12917.24
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,173.8295,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_xcd4,0.0%,296.5,9270.0
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,191.7054,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_xcd4_fp4,0.8%,268.85,8405.6
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,100.6853,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w2_bnt0,0.0%,511.89,16004.31
